GENE1	GENE2
RPL37A	RPS27A
MRPL1	MRPS36
RFC3	SPRTN
ZFP82	ZFP92
MAPK13	NFATC3
GTF2H3	UBA52
RPL39	RPS19
CHD3	ZNF629
ZNF473	ZNF534
CCNK	NELFA
CD40LG	PSMD4
ZNF404	ZNF594
BATF3	CEBPG
ANGPT2	FGFR2
CREBBP	EP400
NCOR2	SMARCD3
RAN	TPR
DYNC1H1	TUBGCP2
ZNF16	ZNF81
EIF5B	RPL3
ERBB3	FGFR1
HLA-E	PSMB9
ZNF56	ZNF624
IGF1R	MAP2K1
AURKC	SRPK1
CDC42	SRGAP3
FAT2	PCDHGA1
CEP57	UBC
GRB2	IL11RA
ZNF16	ZNF714
PSME2	SKP2
BBS7	CCT5
GNG13	OR13C3
CCNB2	SEC13
BMX	PPP3CC
SOCS1	TLR2
CXCL12	DPP4
ACTG1	ACTR2
ZNF658B	ZNF74
CSTF3	PRPF8
ZNF333	ZNF527
APC2	PPP2CA
TNNT1	TTN
CDKN1B	RPS6KA1
POLD2	POLR2E
GMNN	PSMC2
APBA2	APLP1
RNPS1	RPSA
GNA14	GRP
PDGFRB	STAT1
HSPH1	ST13
RPL23	SECISBP2
EGFR	TLR2
CHMP4A	UBA52
SF3B4	SNRPB
RPL21	RPL36
ITGB8	VCL
KCNA2	KCNF1
ATIC	FH
EGFR	WASL
ACTN3	TNNC1
ACTG1	ITGB6
ELL	RPS27A
MAPK3	NCKAP1
COL14A1	CRTAP
FGF18	FGF6
CHD9	NFYA
CDK8	SUZ12
SYNGR3	SYPL2
ZNF606	ZNF74
MRPL16	MRPS18B
GADD45GIP1	MRPL53
BIRC3	RPS3
CACNG8	PPP1CC
ADCY1	GNAS
ZNF426	ZNF502
EIF3M	EIF4H
GATA6	JARID2
CALCA	CREB1
FBXL3	UBB
GTF2H5	POLR2B
EREG	NRG1
HLA-DPB1	HLA-DRA
ZNF420	ZNF780A
CNTN1	UBB
ARRB1	MAPK3
ATXN1	YY1AP1
CENPL	SMC3
ZNF667	ZNF713
CTNNB1	DNM2
INPP5B	RHOV
FHL2	GNG12
CSF3R	IFNA1
A2M	ACTB
ZNF141	ZNF880
CTBP2	NR2E1
FOLR1	TRAPPC6B
ELMO2	V2-17
KDR	PLCB3
LHX8	SUZ12
ITGB3	PLCD3
CENPK	MAD1L1
ZNF850	ZNF876P
NDUFA7	NDUFS1
CCND1	POU2F1
PSMA1	SEC23A
DDX19A	DDX19B
PSMC1	PSMD3
ZNF66	ZNF812
HCK	V5-4
ZNF546	ZNF786
MAX	RUVBL2
GNB1	OR2L3
HSP90AA1	TDRD1
CHD4	ZNF383
AXIN1	JUP
RPL30	RPS8
GNG10	MAPK9
CEBPB	IL3
ARRB2	WNT11
ZNF571	ZNF626
CDIPT	PIK3R1
ZFP69	ZNF562
ZNF23	ZNF761
NOTCH3	TCF7L2
FANCF	ZBTB32
GNG7	HTR7
HIST2H3A	TAF1C
FOPNL	PCM1
SNRPB2	UPF3B
ZNF302	ZNF355P
ZNF100	ZNF250
RLIM	UBC
GABRA1	TRAK2
ARF6	NME1
RPS28	SMG8
ACTG1	ARPC5
GNGT1	OR5B12
CBL	FGF5
PARP1	UBC
BACE1	PSEN1
CD4	ETS1
PSMD7	REL
CXCL8	HCK
EP300	NFIC
CAMK2D	PLCB2
CD4	PSMD9
FBXW11	RPS27A
CYP2C19	GSTM2
TUBA4A	VBP1
GTF2F1	RPL37
HIRA	HMGA1
CHKB	PIK3CD
SMARCB1	THAP7
PHAX	RAE1
CALML5	PPP1CC
CTNNB1	PCDHA6
GHRL	HTR1B
SCNN1D	SCNN1G
CGN	MYH15
GNAO1	YES1
UQCR10	UQCRC2
DKFZP686O0962	GPSM2
EP300	IRF1
HOXB7	SP3
CUL4B	RPS27A
ERCC1	ERCC4
PAGR1	RQCD1
HNRNPD	NCBP1
ERCC6	ZNF830
PRMT1	REST
NGF	PIK3CA
KAT2A	POLR2F
APP	MAPK1
DAND5	MTMR4
UBC	ZNF143
SIN3A	ZNF805
ZFP28	ZNF426
EEF2	RPL29
SP3	UTRN
SKP1	TRRAP
CCNB2	CENPU
ATRIP	RMI1
NANOG	ZNF729
DIAPH2	KIF2B
RPL28	RPL35A
CDK7	ZNRD1
EPC1	RNF2
DCTN4	DCTN6
SMC3	TUBGCP2
UBC	ZNF813
AP2S1	EPHB1
GABRA2	GABRA4
ADRBK1	OR2T11
ZNF286A	ZNF317
HLA-DRA	STAT3
ZNF25	ZNF473
NDUFC1	TIMMDC1
JAK1	PRKCZ
SEC24B	TMED2
HNRNPK	SNRNP27
ZNF430	ZNF566
RNF168	WHSC1
ZFP3	ZNF383
CDC5L	SF3B1
AXIN1	PSMB5
CTNNB1	PCDHGA11
HDAC3	NANOG
CACNA1A	NDUFB8
ZNF468	ZNF682
MRPL20	MRPS25
CALM1	EXOC5
BUB3	CENPN
NFKBIA	PIK3CA
CEBPG	CREB3L3
DCTN2	NEK2
PSMA1	SEPT5
RPL4	TUBA1C
ARIH1	EIF4E3
LSM7	POLR2A
BUB3	PSMB7
SLIT2	SRGAP2
NR3C1	PRMT5
IGF2BP2	YWHAE
COX5B	UQCRFS1
BCL3	RUVBL2
ACVR1C	BMP2
CUL5	POLR2B
CXCL2	GNB1
V2-15	WAS
EPHA10	EPHA5
CSNK1D	TUBGCP3
COPA	GOLGB1
MAPK10	PCYT1A
ATR	RMI1
PSMD12	TRAF6
BLNK	EP300
MOV10L1	TDRD9
ACTA1	AKT1
RPLP2	SRP19
DCTN3	TUBG1
DMC1	RPA2
V1-11	WAS
FGF11	FGFR4
FUS	SRSF7
HDAC1	PCGF6
MYD88	TAB1
ZNF141	ZNF320
ITGA7 VARIANT PROTEIN	PXN
FZD1	WNT1
NF1	STAT4
MYH2	UBB
CDHR2	CTNNA2
ZNF331	ZNF721
ZNF286B	ZNF331
PDHA1	PRDX4
PCDHB14	PCDHB3
PPARA	STAT6
AHCTF1	RAD21
GSTM1	GSTM2
CRYAB	XIAP
ADRBK2	OR5H14
ZNF10	ZNF879
NR2E3	RBBP4
IRX5	SUZ12
RBM8A	YBX1
ZFP92	ZNF628
GNA15	LTB4R2
MMP2	NOX3
RPS28	SSR1
HOXD9	MEIS3P1
CDK1	TCTN3
GNA14	TRHR
MC3R	MRAP2
IRAK3	TOLLIP
MED4	RXRB
PRKAA1	RB1CC1
MT-ND1	NDUFB6
CTSG	SERPINB10
PIK3CA	PLCD4
IFNA14	NFATC3
ITGA8	MICALL1
PI4KB	PLCG1 VARIANT PROTEIN
CDK6	TFDP1
HLA-G	KIR2DS1
PRKG2	SMAD9
NUP160	SNUPN
E2F1	FAF1
ZNF570	ZNF628
MRPL10	MRPS18B
ZNF260	ZNF506
CTNNA1	PCDHB1
GNGT1	GSA
CKAP5	DSN1
AKT3	RORC
PSMB2	PSMB6
ARHGAP25	PLEK
ATP10D	UBC
NDUFAB1	NDUFB3
TAL1	ZIM2
RPL8	TUBA1C
NONO	YWHAB
CSTF3	SUGP1
ADAM12	HCK
ARRB2	CCR5
CELSR2	PCDHA11
NEIL1	XRCC1
ZNF534	ZNF621
DNM1	SH3GL3
CHD3	ZNF311
E2F1	OGG1
PPIH	SF3B3
GFM2	MRPS33
KDM6A	POLR2F
UBC	ZCCHC12
GNAL	OR8D2
MEIS1	TCF12
CTNNB1	INSR
EPHB2	MMP9
OR51A7	PRKACB
ZNF266	ZNF728
ITGB7	PARVG
RXRA	SNW1
CTCF	KDM6A
IL12B	OSMR
EGLN2	PRKCG
SMAD7	TGIF2
PKNOX1	WDR5
HNRNPU	SRRM1
CCNA1	MCM6
ZNF672	ZNF676
CCL5	REL
RPL37A	TPR
ERCC4	GTF2H2
PPP1R12A	ROCK1
NFIA	POLR3K
GNG5	KCNJ2
ZNF486	ZNF81
ATP1A2	FXYD4
TRIM25	VCP
CENPE	ZWILCH
LIMS1	POTEKP
NMBR	OPRK1
FOXP3	STAT1
CCL16	CCR8
HNF4A	PRKCB
CCR2	CXCL16
APOBEC3A	UBC
CDH1	IGF2
ZNF146	ZNF56
CHMP1B	VTA1
ACTG1	ITGA1
GNG2	PNOC
AKT1	IRF3
CEP135	SASS6
